Kasvaa; to grow; English;
Minä kasvan; I grow; English;
Sinä kasvat; You grow; English;
Hän kasaa; He / she grows; English;
Se kasvaa; It grows; English;
Me kasvamme; We grow; English;
Te kasvatte; You grow (pl); English;
He kasvavat; They grow; English;
to grow; Kasvaa; Finnish;
I grow; Minä kasvan; Finnish;
You grow; Sinä kasvat; Finnish;
He / she grows; Hän kasaa; Finnish;
It grows; Se kasvaa; Finnish;
We grow; Me kasvamme; Finnish;
You grow (pl); Te kasvatte; Finnish;
They grow; He kasvavat; Finnish;
